,Model,Brand,Price_in_Pounds,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power *,Total Torque *,Drive,Nominal Capacity,Battery Type,Number of Cells,Architecture,Useable Capacity*,Cathode Material,Pack Configuration,Nominal Voltage,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,"Nominal Capacity							*",Electric Range,Total Power,Total Torque,City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Useable Capacity,Rated Consumption *,Rated Fuel Equivalent *,Acceleration 0 - 100 km/h *,Top Speed *
18,Volkswagen ID.3 Pro,Volkswagen,"37,115",7.3 sec,160 km/h,350 km,,,Rear,62.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,350 km,166 Wh/km,0 g/km,1.9 l/100km,429 km,153 Wh/km,135 Wh/km,1.7 l/100km,1.5 l/100km,171 Wh/km,232 Wh/km,197 Wh/km,112 Wh/km,178 Wh/km,143 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,58.0 kWh,,,,
19,Tesla Model X Dual Motor,Tesla,"100,000",3.9 sec,250 km/h,475 km,,,AWD,,Lithium-ion,7920,400 V,95.0 kWh,NCA,110s72p,407 V,475 km,200 Wh/km,0 g/km,2.2 l/100km,576 km,191 Wh/km,165 Wh/km,2.1 l/100km,1.9 l/100km,204 Wh/km,275 Wh/km,235 Wh/km,140 Wh/km,218 Wh/km,176 Wh/km,100.0 kWh,,504 kW (685 PS),No Data,,,,,,,,,,,
0,CUPRA Born 150 kW - 58 kWh,CUPRA,"36,475",7.3 sec,160 km/h,350 km,,,Rear,62.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,350 km,166 Wh/km,0 g/km,1.9 l/100km,358 km,180 Wh/km,162 Wh/km,2.0 l/100km,1.8 l/100km,171 Wh/km,232 Wh/km,197 Wh/km,113 Wh/km,181 Wh/km,145 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,58.0 kWh,,,,
1,Porsche Taycan Turbo S,Porsche,"142,400",2.8 sec,260 km/h,,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM712,198s2p,725 V,,,0 g/km,,390 km,256 Wh/km,215 Wh/km,2.9 l/100km,2.4 l/100km,,,,,,,,400 km,560 kW (761 PS),1050 Nm,215 Wh/km,289 Wh/km,246 Wh/km,149 Wh/km,226 Wh/km,186 Wh/km,83.7 kWh,,,,
2,Jeep Avenger Electric,Jeep,"34,800",9.0 sec,150 km/h,,,,Front,54.0 kWh,Lithium-ion,102,400 V,,NMC811,102s1p,377 V,,,0 g/km,,385 km,159 Wh/km,132 Wh/km,1.8 l/100km,1.5 l/100km,,,,,,,,300 km,115 kW (156 PS),260 Nm,169 Wh/km,242 Wh/km,199 Wh/km,113 Wh/km,188 Wh/km,147 Wh/km,50.8 kWh,,,,
3,Volkswagen ID.7 Pro,Volkswagen,"53,000",,,470 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,615 km,125 Wh/km,0 g/km,1.4 l/100km,,,,,,173 Wh/km,226 Wh/km,195 Wh/km,114 Wh/km,173 Wh/km,141 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,No Data,No Data,8.0 sec,180 km/h
4,Tesla Model X Plaid,Tesla,"125,000",2.6 sec,262 km/h,455 km,,,AWD,,Lithium-ion,7920,400 V,95.0 kWh,NCA,110s72p,407 V,455 km,209 Wh/km,0 g/km,2.3 l/100km,528 km,214 Wh/km,180 Wh/km,2.4 l/100km,2.0 l/100km,211 Wh/km,288 Wh/km,244 Wh/km,147 Wh/km,226 Wh/km,184 Wh/km,100.0 kWh,,760 kW (1033 PS),No Data,,,,,,,,,,,
5,Mercedes EQA 250+,Mercedes,"52,010",8.6 sec,160 km/h,,,,Front,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,,,0 g/km,,489 km,168 Wh/km,144 Wh/km,1.9 l/100km,1.6 l/100km,,,,,,,73.9 kWh,420 km,140 kW (190 PS),385 Nm,172 Wh/km,235 Wh/km,199 Wh/km,114 Wh/km,183 Wh/km,145 Wh/km,70.5 kWh,,,,
6,Skoda Enyaq iV 60,Skoda,"38,970",8.7 sec,160 km/h,325 km,,,Rear,62.0 kWh,Lithium-ion,216,400 V,,NCM712,108s2p,400 V,325 km,178 Wh/km,0 g/km,2.0 l/100km,390 km,No Data,149 Wh/km,No Data,1.7 l/100km,181 Wh/km,252 Wh/km,211 Wh/km,121 Wh/km,193 Wh/km,155 Wh/km,,,132 kW (179 PS),310 Nm,,,,,,,58.0 kWh,,,,
7,NIO ET5 100 kWh,NIO,,4.0 sec,200 km/h,500 km,,,AWD,100.0 kWh,Lithium-ion,96,400 V,,NCM,96s1p,No Data,500 km,180 Wh/km,0 g/km,2.0 l/100km,540 km,204 Wh/km,167 Wh/km,2.3 l/100km,1.9 l/100km,188 Wh/km,250 Wh/km,214 Wh/km,126 Wh/km,194 Wh/km,158 Wh/km,,,360 kW (489 PS),700 Nm,,,,,,,90.0 kWh,,,,
8,Peugeot e-208,Peugeot,"34,595",,150 km/h,290 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,290 km,160 Wh/km,0 g/km,1.8 l/100km,350 km,160 Wh/km,132 Wh/km,1.8 l/100km,1.5 l/100km,165 Wh/km,226 Wh/km,193 Wh/km,108 Wh/km,175 Wh/km,138 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,8.1 sec,
9,Renault Zoe ZE50 R135,Renault,"29,995",9.5 sec,140 km/h,,,,Front,,Lithium-ion,192,400 V,,NCM712,96s2p,350 V,,,0 g/km,,385 km,177 Wh/km,135 Wh/km,2.0 l/100km,1.5 l/100km,,,,,,,54.7 kWh,310 km,100 kW (136 PS),245 Nm,170 Wh/km,236 Wh/km,200 Wh/km,112 Wh/km,186 Wh/km,146 Wh/km,52.0 kWh,,,,
10,Mercedes EQE 300,Mercedes,"74,345",7.3 sec,210 km/h,,,,Rear,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,,,0 g/km,,550 km,188 Wh/km,162 Wh/km,2.1 l/100km,1.8 l/100km,,,,,,,98.0 kWh,515 km,180 kW (245 PS),550 Nm,182 Wh/km,237 Wh/km,205 Wh/km,121 Wh/km,182 Wh/km,150 Wh/km,89.0 kWh,,,,
11,Audi Q8 e-tron Sportback 55 quattro,Audi,"80,300",5.6 sec,200 km/h,,,,AWD,114.0 kWh,Lithium-ion,432,400 V,,NCA,108s4p,397 V,,,0 g/km,,487 km,241 Wh/km,218 Wh/km,2.7 l/100km,2.4 l/100km,,,,,,,,525 km,300 kW (408 PS),664 Nm,208 Wh/km,275 Wh/km,238 Wh/km,143 Wh/km,216 Wh/km,178 Wh/km,106.0 kWh,,,,
12,Skoda Enyaq Coupe iV RS,Skoda,"54,370",6.5 sec,180 km/h,405 km,,,AWD,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,No Data,405 km,190 Wh/km,0 g/km,2.1 l/100km,505 km,170 Wh/km,152 Wh/km,1.9 l/100km,1.7 l/100km,195 Wh/km,261 Wh/km,226 Wh/km,133 Wh/km,205 Wh/km,167 Wh/km,,,220 kW (299 PS),460 Nm,,,,,,,77.0 kWh,,,,
13,CUPRA Born 170 kW - 77 kWh,CUPRA,"41,975",7.0 sec,160 km/h,450 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,350 V,450 km,171 Wh/km,0 g/km,1.9 l/100km,492 km,176 Wh/km,157 Wh/km,2.0 l/100km,1.8 l/100km,177 Wh/km,241 Wh/km,205 Wh/km,118 Wh/km,186 Wh/km,150 Wh/km,,,170 kW (231 PS),310 Nm,,,,,,,77.0 kWh,,,,
14,Mercedes EQB 250,Mercedes,,8.9 sec,160 km/h,,,,Front,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,433 km,178 Wh/km,154 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,385 km,140 kW (190 PS),385 Nm,177 Wh/km,242 Wh/km,205 Wh/km,118 Wh/km,187 Wh/km,149 Wh/km,66.5 kWh,,,,
15,Mercedes EQB 350 4MATIC,Mercedes,"56,810",6.2 sec,160 km/h,,,,AWD,69.7 kWh,Lithium-ion,300,400 V,,No Data,100s3p,367 V,,,0 g/km,,395 km,194 Wh/km,168 Wh/km,2.2 l/100km,1.9 l/100km,,,,,,,,340 km,215 kW (292 PS),520 Nm,196 Wh/km,271 Wh/km,229 Wh/km,134 Wh/km,215 Wh/km,173 Wh/km,66.5 kWh,,,,
16,Polestar 4 Long Range Single Motor,Polestar,"55,000",7.4 sec,180 km/h,510 km,,,Rear,102.0 kWh,Lithium-ion,110,400 V,,NMC,110s1p,407 V,600 km,157 Wh/km,0 g/km,1.8 l/100km,,,,,,190 Wh/km,258 Wh/km,219 Wh/km,128 Wh/km,200 Wh/km,162 Wh/km,,,200 kW (272 PS),343 Nm,,,,,,,94.0 kWh,148 Wh/km,1.7 l/100km,,
17,Mercedes EQS SUV 580 4MATIC,Mercedes,"139,170",4.6 sec,210 km/h,485 km,,,AWD,,Lithium-ion,432,400 V,,NCM811,108s4p,396 V,485 km,224 Wh/km,0 g/km,2.5 l/100km,511 km,243 Wh/km,212 Wh/km,2.7 l/100km,2.4 l/100km,221 Wh/km,310 Wh/km,261 Wh/km,156 Wh/km,244 Wh/km,197 Wh/km,120.0 kWh,,400 kW (544 PS),858 Nm,,,,,,,108.4 kWh,,,,
18,Mazda MX-30,Mazda,"30,050",9.7 sec,140 km/h,,,,Front,35.5 kWh,Lithium-ion,No Data,400 V,30.0 kWh,No Data,No Data,No Data,,,0 g/km,,200 km,179 Wh/km,150 Wh/km,2.0 l/100km,1.7 l/100km,,,,,,,,170 km,107 kW (145 PS),271 Nm,176 Wh/km,250 Wh/km,214 Wh/km,120 Wh/km,200 Wh/km,154 Wh/km,,,,,
19,Lucid Air Dream Edition R,Lucid,,2.9 sec,270 km/h,,,,AWD,,Lithium-ion,6600,800 V,118.0 kWh,No Data,220s30p,800 V,,,0 g/km,,828 km,160 Wh/km,143 Wh/km,1.8 l/100km,1.6 l/100km,,,,,,,118.0 kWh,685 km,696 kW (946 PS),1390 Nm,184 Wh/km,234 Wh/km,205 Wh/km,123 Wh/km,180 Wh/km,149 Wh/km,,,,,
0,Kia EV6 Long Range AWD,Kia,"51,745",5.2 sec,185 km/h,400 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,400 km,185 Wh/km,0 g/km,2.1 l/100km,484 km,180 Wh/km,153 Wh/km,2.0 l/100km,1.7 l/100km,187 Wh/km,260 Wh/km,218 Wh/km,128 Wh/km,200 Wh/km,161 Wh/km,,,239 kW (325 PS),605 Nm,,,,,,,,,,,
1,Volvo XC40 Recharge Single Motor,Volvo,"46,505",7.3 sec,180 km/h,345 km,,,Rear,69.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,355 V,345 km,191 Wh/km,0 g/km,2.1 l/100km,454 km,173 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,191 Wh/km,269 Wh/km,228 Wh/km,129 Wh/km,213 Wh/km,169 Wh/km,,,175 kW (238 PS),420 Nm,,,,,,,66.0 kWh,,,,
2,Citroen e-C4,Citroen,"30,995",9.7 sec,150 km/h,275 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,275 km,168 Wh/km,0 g/km,1.9 l/100km,357 km,153 Wh/km,130 Wh/km,1.7 l/100km,1.5 l/100km,171 Wh/km,237 Wh/km,201 Wh/km,113 Wh/km,185 Wh/km,147 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
3,Polestar 2 Long Range Single Motor,Polestar,"48,950",6.2 sec,205 km/h,440 km,,,Rear,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,440 km,177 Wh/km,0 g/km,2.0 l/100km,591 km,No Data,132 Wh/km,No Data,1.5 l/100km,181 Wh/km,248 Wh/km,211 Wh/km,122 Wh/km,193 Wh/km,154 Wh/km,,,220 kW (299 PS),490 Nm,,,,,,,78.0 kWh,,,,
4,Dacia Spring Electric 65 Extreme,Dacia,,13.7 sec,125 km/h,160 km,,,Front,26.8 kWh,Lithium-ion,72,400 V,25.0 kWh,No Data,72s1p,240 V,160 km,156 Wh/km,0 g/km,1.8 l/100km,220 km,145 Wh/km,114 Wh/km,1.6 l/100km,1.3 l/100km,156 Wh/km,227 Wh/km,185 Wh/km,100 Wh/km,179 Wh/km,135 Wh/km,,,48 kW (65 PS),113 Nm,,,,,,,,,,,
5,Subaru Solterra AWD,Subaru,"49,995",6.9 sec,160 km/h,320 km,,,AWD,71.4 kWh,Lithium-ion,96,400 V,,No Data,96s1p,355 V,320 km,200 Wh/km,0 g/km,2.2 l/100km,416 km,179 Wh/km,154 Wh/km,2.0 l/100km,1.7 l/100km,200 Wh/km,284 Wh/km,237 Wh/km,136 Wh/km,221 Wh/km,175 Wh/km,,,160 kW (218 PS),336 Nm,,,,,,,64.0 kWh,,,,
6,Fisker Ocean Ultra,Fisker,"49,880",4.2 sec,,525 km,,,AWD,113.0 kWh,Lithium-ion,No Data,400 V,105.0 kWh,NMC,No Data,No Data,610 km,172 Wh/km,0 g/km,1.9 l/100km,,,,,,202 Wh/km,276 Wh/km,236 Wh/km,139 Wh/km,219 Wh/km,176 Wh/km,,,400 kW (544 PS),No Data,,,,,,,,No Data,No Data,,200 km/h
7,Hyundai IONIQ 5 Long Range AWD,Hyundai,"50,150",5.1 sec,185 km/h,385 km,,,AWD,77.4 kWh,Lithium-ion,384,800 V,74.0 kWh,No Data,192s2p,697 V,385 km,192 Wh/km,0 g/km,2.2 l/100km,454 km,191 Wh/km,163 Wh/km,2.1 l/100km,1.8 l/100km,195 Wh/km,269 Wh/km,228 Wh/km,132 Wh/km,211 Wh/km,170 Wh/km,,,239 kW (325 PS),605 Nm,,,,,,,,,,,
8,Volkswagen e-Up!,Volkswagen,"24,085",11.9 sec,130 km/h,,,,Front,36.8 kWh,Lithium-ion,168,400 V,,NCM622,84s2p,310 V,,,0 g/km,,253 km,147 Wh/km,128 Wh/km,1.7 l/100km,1.4 l/100km,,,,,,,,205 km,61 kW (83 PS),210 Nm,158 Wh/km,223 Wh/km,190 Wh/km,103 Wh/km,175 Wh/km,135 Wh/km,32.3 kWh,,,,
9,Opel Mokka-e,Opel,"34,910",9.2 sec,150 km/h,260 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,260 km,178 Wh/km,0 g/km,2.0 l/100km,338 km,158 Wh/km,137 Wh/km,1.8 l/100km,1.5 l/100km,175 Wh/km,250 Wh/km,210 Wh/km,117 Wh/km,197 Wh/km,154 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
10,Audi Q8 e-tron 50 quattro,Audi,"67,800",6.0 sec,200 km/h,420 km,,,AWD,95.0 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,420 km,212 Wh/km,0 g/km,2.4 l/100km,410 km,240 Wh/km,217 Wh/km,2.7 l/100km,2.4 l/100km,214 Wh/km,292 Wh/km,247 Wh/km,148 Wh/km,231 Wh/km,187 Wh/km,,,250 kW (340 PS),664 Nm,,,,,,,89.0 kWh,,,,
11,Porsche Taycan,Porsche,"75,500",5.4 sec,230 km/h,,,,Rear,79.2 kWh,Lithium-ion,336,800 V,,NCM712,168s2p,615 V,,,0 g/km,,354 km,248 Wh/km,201 Wh/km,2.8 l/100km,2.3 l/100km,,,,,,,,410 km,300 kW (408 PS),345 Nm,182 Wh/km,241 Wh/km,206 Wh/km,122 Wh/km,184 Wh/km,151 Wh/km,71.0 kWh,,,,
12,Lotus Eletre,Lotus,"89,500",4.5 sec,250 km/h,520 km,,,AWD,,Lithium-ion,No Data,800 V,107.0 kWh,No Data,No Data,No Data,600 km,178 Wh/km,0 g/km,2.0 l/100km,580 km,No Data,184 Wh/km,No Data,2.1 l/100km,212 Wh/km,282 Wh/km,243 Wh/km,146 Wh/km,221 Wh/km,181 Wh/km,112.0 kWh,,450 kW (612 PS),710 Nm,,,,,,,,No Data,No Data,,
13,Citroen e-C4 X,Citroen,,9.7 sec,150 km/h,275 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,275 km,168 Wh/km,0 g/km,1.9 l/100km,360 km,No Data,129 Wh/km,No Data,1.4 l/100km,171 Wh/km,237 Wh/km,201 Wh/km,113 Wh/km,185 Wh/km,147 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
14,Audi Q4 e-tron 35,Audi,"44,690",9.0 sec,160 km/h,285 km,,,Rear,55.0 kWh,Lithium-ion,192,400 V,,No Data,96s2p,No Data,285 km,182 Wh/km,0 g/km,2.1 l/100km,306 km,191 Wh/km,170 Wh/km,2.1 l/100km,1.9 l/100km,186 Wh/km,260 Wh/km,217 Wh/km,124 Wh/km,200 Wh/km,160 Wh/km,,,125 kW (170 PS),310 Nm,,,,,,,52.0 kWh,,,,
15,Hyundai Kona Electric 65 kWh,Hyundai,"40,000",,,400 km,,,Front,,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,400 km,164 Wh/km,0 g/km,1.8 l/100km,490 km,157 Wh/km,133 Wh/km,1.8 l/100km,1.5 l/100km,168 Wh/km,229 Wh/km,195 Wh/km,111 Wh/km,179 Wh/km,142 Wh/km,68.5 kWh,,160 kW (218 PS),255 Nm,,,,,,,65.4 kWh,,,8.0 sec,167 km/h
16,Audi SQ8 e-tron,Audi,"97,500",4.5 sec,210 km/h,455 km,,,AWD,114.0 kWh,Lithium-ion,432,400 V,,NCA,108s4p,397 V,455 km,233 Wh/km,0 g/km,2.6 l/100km,416 km,290 Wh/km,255 Wh/km,3.3 l/100km,2.9 l/100km,230 Wh/km,321 Wh/km,272 Wh/km,163 Wh/km,255 Wh/km,206 Wh/km,,,370 kW (503 PS),973 Nm,,,,,,,106.0 kWh,,,,
17,Peugeot e-2008 SUV,Peugeot,"35,150",8.5 sec,150 km/h,260 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,260 km,178 Wh/km,0 g/km,2.0 l/100km,330 km,161 Wh/km,140 Wh/km,1.8 l/100km,1.6 l/100km,175 Wh/km,250 Wh/km,210 Wh/km,117 Wh/km,197 Wh/km,154 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
18,Kia EV9 99.8 kWh AWD,Kia,"65,000",5.3 sec,,450 km,,,AWD,,Lithium-ion,No Data,800 V,99.8 kWh,No Data,No Data,No Data,450 km,222 Wh/km,0 g/km,2.5 l/100km,,,,,,219 Wh/km,307 Wh/km,259 Wh/km,155 Wh/km,246 Wh/km,198 Wh/km,105.0 kWh,,283 kW (385 PS),700 Nm,,,,,,,,,,,180 km/h
19,Hyundai Kona Electric 39 kWh,Hyundai,"32,450",9.9 sec,155 km/h,250 km,,,Front,,Lithium-ion,No Data,400 V,,No Data,No Data,327 V,250 km,157 Wh/km,0 g/km,1.8 l/100km,305 km,143 Wh/km,129 Wh/km,1.6 l/100km,1.4 l/100km,160 Wh/km,224 Wh/km,187 Wh/km,103 Wh/km,170 Wh/km,135 Wh/km,42.0 kWh,,100 kW (136 PS),395 Nm,,,,,,,39.2 kWh,,,,
20,Polestar 4 Long Range Dual Motor,Polestar,"60,000",3.8 sec,200 km/h,475 km,,,AWD,102.0 kWh,Lithium-ion,110,400 V,,NMC,110s1p,407 V,560 km,168 Wh/km,0 g/km,1.9 l/100km,,,,,,202 Wh/km,272 Wh/km,232 Wh/km,138 Wh/km,214 Wh/km,174 Wh/km,,,400 kW (544 PS),686 Nm,,,,,,,94.0 kWh,167 Wh/km,1.9 l/100km,,
21,XPENG P7 RWD Long Range,XPENG,,6.7 sec,200 km/h,500 km,,,Rear,86.2 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,500 km,165 Wh/km,0 g/km,1.9 l/100km,576 km,168 Wh/km,144 Wh/km,1.9 l/100km,1.6 l/100km,174 Wh/km,230 Wh/km,197 Wh/km,114 Wh/km,176 Wh/km,143 Wh/km,,,203 kW (276 PS),440 Nm,,,,,,,82.7 kWh,,,,
22,NIO ET7 75 kWh,NIO,,3.8 sec,200 km/h,400 km,,,AWD,75.0 kWh,Lithium-ion,118,400 V,,LFP & NCM,118s1p,No Data,400 km,176 Wh/km,0 g/km,2.0 l/100km,385 km,223 Wh/km,183 Wh/km,2.5 l/100km,2.1 l/100km,188 Wh/km,243 Wh/km,210 Wh/km,126 Wh/km,186 Wh/km,153 Wh/km,,,480 kW (653 PS),850 Nm,,,,,,,70.5 kWh,,,,
23,Mercedes EQE SUV 350+,Mercedes,,6.7 sec,210 km/h,470 km,,,Rear,,Lithium-ion,360,400 V,,NCM811,90s4p,328 V,470 km,193 Wh/km,0 g/km,2.2 l/100km,480 km,218 Wh/km,189 Wh/km,2.4 l/100km,2.1 l/100km,197 Wh/km,266 Wh/km,227 Wh/km,134 Wh/km,208 Wh/km,169 Wh/km,100.0 kWh,,215 kW (292 PS),565 Nm,,,,,,,90.6 kWh,,,,
24,Polestar 2 Standard Range Single Motor,Polestar,"44,950",6.4 sec,205 km/h,385 km,,,Rear,69.0 kWh,Lithium-ion,288,400 V,,NCM,96s3p,355 V,385 km,174 Wh/km,0 g/km,2.0 l/100km,482 km,No Data,139 Wh/km,No Data,1.6 l/100km,179 Wh/km,244 Wh/km,206 Wh/km,120 Wh/km,189 Wh/km,152 Wh/km,,,200 kW (272 PS),490 Nm,,,,,,,67.0 kWh,,,,
25,Hyundai IONIQ 5 Standard Range 2WD,Hyundai,"43,150",8.5 sec,185 km/h,295 km,,,Rear,58.0 kWh,Lithium-ion,288,800 V,54.0 kWh,No Data,144s2p,523 V,295 km,183 Wh/km,0 g/km,2.1 l/100km,384 km,167 Wh/km,141 Wh/km,1.9 l/100km,1.6 l/100km,183 Wh/km,257 Wh/km,216 Wh/km,124 Wh/km,200 Wh/km,159 Wh/km,,,125 kW (170 PS),350 Nm,,,,,,,,,,,
26,Opel Corsa-e,Opel,"31,130",8.1 sec,150 km/h,295 km,,,Front,50.0 kWh,Lithium-ion,216,400 V,,No Data,108s2p,400 V,295 km,157 Wh/km,0 g/km,1.8 l/100km,359 km,156 Wh/km,129 Wh/km,1.8 l/100km,1.4 l/100km,162 Wh/km,226 Wh/km,189 Wh/km,105 Wh/km,171 Wh/km,136 Wh/km,,,100 kW (136 PS),260 Nm,,,,,,,46.3 kWh,,,,
27,Smart EQ fortwo coupe,Smart,"22,225",11.6 sec,130 km/h,,,,Rear,17.6 kWh,Lithium-ion,No Data,400 V,16.7 kWh,No Data,No Data,No Data,,,0 g/km,,133 km,161 Wh/km,126 Wh/km,1.8 l/100km,1.4 l/100km,,,,,,,,100 km,60 kW (82 PS),160 Nm,159 Wh/km,239 Wh/km,196 Wh/km,104 Wh/km,186 Wh/km,145 Wh/km,,,,,
28,e.Go e.wave X,e.Go,,,135 km/h,150 km,,,Rear,30.4 kWh,Lithium-ion,No Data,400 V,27.0 kWh,No Data,No Data,No Data,150 km,180 Wh/km,0 g/km,2.0 l/100km,163 km,186 Wh/km,166 Wh/km,2.1 l/100km,1.9 l/100km,174 Wh/km,257 Wh/km,208 Wh/km,115 Wh/km,200 Wh/km,154 Wh/km,,,86 kW (117 PS),No Data,,,,,,,,,,12.0 sec,
29,Smart #1 Brabus,Smart,"42,000",3.9 sec,180 km/h,320 km,,,AWD,66.0 kWh,Lithium-ion,No Data,400 V,,NCM,No Data,No Data,320 km,194 Wh/km,0 g/km,2.2 l/100km,400 km,179 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,194 Wh/km,276 Wh/km,230 Wh/km,132 Wh/km,214 Wh/km,170 Wh/km,,,315 kW (428 PS),543 Nm,,,,,,,62.0 kWh,,,,
30,Volkswagen ID.5 Pro,Volkswagen,"50,710",10.4 sec,160 km/h,430 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,NCM712,96s3p,350 V,430 km,179 Wh/km,0 g/km,2.0 l/100km,516 km,169 Wh/km,149 Wh/km,1.9 l/100km,1.7 l/100km,183 Wh/km,248 Wh/km,214 Wh/km,124 Wh/km,195 Wh/km,157 Wh/km,,,128 kW (174 PS),235 Nm,,,,,,,77.0 kWh,,,,
31,MG ZS EV Standard Range,MG,"30,495",8.6 sec,175 km/h,265 km,,,Front,51.1 kWh,Lithium-ion,No Data,400 V,,No Data,No Data,No Data,265 km,185 Wh/km,0 g/km,2.1 l/100km,320 km,173 Wh/km,153 Wh/km,1.9 l/100km,1.7 l/100km,181 Wh/km,265 Wh/km,218 Wh/km,121 Wh/km,204 Wh/km,161 Wh/km,,,130 kW (177 PS),280 Nm,,,,,,,49.0 kWh,,,,
32,Volkswagen ID.3 Pro S - 4 Seats,Volkswagen,"42,870",7.9 sec,160 km/h,455 km,,,Rear,82.0 kWh,Lithium-ion,288,400 V,,No Data,96s3p,350 V,455 km,169 Wh/km,0 g/km,1.9 l/100km,559 km,157 Wh/km,138 Wh/km,1.8 l/100km,1.5 l/100km,175 Wh/km,237 Wh/km,203 Wh/km,116 Wh/km,183 Wh/km,147 Wh/km,,,150 kW (204 PS),310 Nm,,,,,,,77.0 kWh,,,,
33,Volvo XC40 Recharge Twin Motor,Volvo,"51,755",4.8 sec,180 km/h,390 km,,,AWD,82.0 kWh,Lithium-ion,324,400 V,,NCM,108s3p,400 V,390 km,203 Wh/km,0 g/km,2.3 l/100km,522 km,181 Wh/km,151 Wh/km,2.0 l/100km,1.7 l/100km,200 Wh/km,287 Wh/km,239 Wh/km,139 Wh/km,226 Wh/km,180 Wh/km,,,300 kW (408 PS),670 Nm,,,,,,,79.0 kWh,,,,
34,Polestar 3 Long Range Dual motor,Polestar,"79,900",5.0 sec,210 km/h,490 km,,,AWD,111.0 kWh,Lithium-ion,204,400 V,,NMC,102s2p,No Data,610 km,175 Wh/km,0 g/km,2.0 l/100km,,,,,,218 Wh/km,301 Wh/km,255 Wh/km,152 Wh/km,238 Wh/km,193 Wh/km,,,360 kW (489 PS),840 Nm,,,,,,,107.0 kWh,No Data,No Data,,
35,Audi e-tron GT quattro,Audi,"84,000",4.1 sec,245 km/h,420 km,,,AWD,93.4 kWh,Lithium-ion,396,800 V,,NCM622,198s2p,725 V,420 km,202 Wh/km,0 g/km,2.3 l/100km,487 km,199 Wh/km,175 Wh/km,2.2 l/100km,2.0 l/100km,210 Wh/km,279 Wh/km,239 Wh/km,144 Wh/km,218 Wh/km,179 Wh/km,,,390 kW (530 PS),640 Nm,,,,,,,85.0 kWh,,,,
36,Fisker Ocean Sport,Fisker,"35,970",7.4 sec,,380 km,,,Front,,Lithium-ion,No Data,400 V,75.0 kWh,LFP,No Data,No Data,440 km,170 Wh/km,0 g/km,1.9 l/100km,,,,,,197 Wh/km,273 Wh/km,231 Wh/km,135 Wh/km,214 Wh/km,172 Wh/km,75.0 kWh,,205 kW (279 PS),No Data,,,,,,,,No Data,No Data,,160 km/h
